date	No biological data	Reviewed computational analysis	Electronic annotation	Author statements	Manual from orthologs	Phylogenetic inference	Experimental
2001-08-30	0	0	12583	0	0	0	0
2001-09-04	0	0	12860	0	0	0	0
2001-09-21	0	0	13023	0	0	0	0
2002-01-19	0	0	13292	0	0	0	0
2002-04-14	0	0	13463	0	0	0	0
2002-07-25	0	0	14156	0	0	0	0
2002-09-18	0	0	14358	0	0	0	0
2003-01-17	0	0	15029	0	0	0	0
2003-05-13	0	0	15069	0	0	0	0
2003-08-13	0	0	14697	0	0	0	0
2003-10-02	0	0	13400	0	0	0	0
2003-12-05	0	0	13993	0	0	0	0
2004-02-06	0	0	14475	0	0	0	0
2004-09-07	0	0	18633	0	0	0	0
2005-02-01	0	0	12422	935	3350	0	2274
2005-03-10	0	0	11645	1041	3805	0	2425
2005-07-04	0	0	9071	1537	6601	0	3352
2005-08-09	0	0	8743	1720	7225	0	3685
2005-08-16	0	0	8679	1787	7247	0	3765
2005-08-24	0	0	8653	1818	7244	0	3790
2005-10-18	1	0	8331	2014	7527	0	4144
2005-10-28	1	7	8257	2046	7570	0	4208
2006-01-31	1	9	7640	2366	7989	0	4462
2006-05-02	1	9	7384	2485	8201	0	4621
2006-06-13	1	9	7168	2497	8355	0	4790
2006-08-23	3	17	6994	2525	8743	0	12039
2006-11-20	3	20	6127	2672	9266	0	12253
2006-12-18	3	21	6113	2680	9313	0	12287
2007-01-16	2734	21	6113	2680	9313	0	12287
2007-03-01	2680	22	5840	2717	9528	0	12418
2007-05-17	2658	22	5829	2729	9529	0	12525
2007-08-23	2663	691	5376	2722	9585	0	12621
2007-11-28	2620	711	6141	2760	9693	0	12746
2008-01-24	2592	711	6017	2767	9662	0	12921
2008-05-14	2706	708	5828	2776	9616	0	13070
2008-07-23	2619	701	5206	2786	9653	0	13445
2008-08-11	2606	701	5015	2849	9632	0	13564
2009-01-19	2538	701	5353	2837	9657	0	13964
2009-02-25	2545	701	4743	2836	9658	0	14006
2009-06-19	2647	701	4123	2973	9705	0	13882
2009-07-06	2537	701	4609	2972	9694	0	14134
2009-08-26	2390	701	4907	2988	9664	0	14220
2010-01-22	2316	1672	3851	3494	10018	0	14630
2010-06-04	2489	728	3624	4490	10084	0	14817
2010-08-04	2481	726	3265	4247	10087	0	14981
2010-09-01	2579	727	3341	4084	10536	0	15084
2010-09-28	2481	727	3326	4052	10557	0	15088
2011-03-04	2554	726	3265	3974	10125	0	15253
2011-04-27	2435	723	3368	3967	10663	0	15335
2011-10-18	2139	722	3515	4172	10811	0	15416
2012-12-17	2482	511	5757	3352	10200	0	17073
2013-01-19	2473	511	5797	3330	10202	0	17112
2013-03-06	2470	511	5343	3730	10198	0	17242
2013-04-02	2463	510	5347	3726	10190	0	17343
2013-05-11	2455	510	5408	3696	10202	0	17355
2013-06-09	2536	510	5407	3693	10193	0	17331
2013-11-11	2366	484	5515	3370	9503	0	17775
2014-01-10	2375	484	5490	3383	9578	0	17879
2014-02-24	2362	484	5445	3353	9629	0	18013
2014-04-26	2379	484	5431	3330	9625	0	18083
2014-06-06	2352	484	5595	3320	9598	0	18132
2014-07-08	2373	484	5451	3269	9567	0	18265
2014-08-06	2380	484	5450	3214	9569	0	18321
2014-08-30	2273	483	5590	3186	9613	0	18502
2014-10-26	2290	482	5342	2852	9587	0	18589
2015-01-10	2306	504	5125	2717	9507	0	18961
2015-02-02	2307	504	5083	2715	9482	0	18975
2015-03-07	2334	505	4834	2729	9479	0	18976
2015-04-04	2343	505	4776	2693	9510	0	19053
2015-05-08	2308	505	4576	3098	9528	0	19102
2015-05-26	2288	505	4541	3160	9501	0	19084
2015-08-10	2376	505	4257	3159	9471	0	19251
2015-09-06	2389	508	4273	3112	9111	0	19106
2015-11-12	2393	4	4270	3534	9346	0	19341
2016-01-27	2403	4	4298	3348	9345	0	21137
2016-03-11	2404	4	4309	3381	9342	0	21209
2016-04-12	2416	4	4315	3290	9337	0	21264
2016-05-12	2436	4	4312	3359	9320	0	21363
2016-09-12	2428	4	4242	3146	9344	0	21953
2017-01-30	2430	4	4103	2977	9251	0	22242
2018-01-01	2183	3	3856	2867	9466	0	21913
2018-03-01	2129	0	3302	2812	8362	0	23959
2018-05-01	2119	0	3279	2848	8338	0	24146
2018-07-01	2114	0	3242	2846	8311	81	24377
2018-09-01	2112	0	3322	2877	8282	91	24437
2018-10-01	2106	0	3343	2862	8272	87	24531
2018-11-01	2101	0	3379	2847	8255	87	24441
2019-01-01	2104	0	3385	2882	8234	85	24581
2019-03-01	2100	0	3347	2931	8234	84	24699
2019-05-01	2096	0	3330	2927	8231	93	24836
2019-07-02	2087	0	3385	2902	8200	83	24959
2019-09-01	2084	0	3380	2907	8179	77	25056
2019-10-01	2084	0	3380	2903	8197	77	25099
2019-11-01	2083	0	3374	2892	8205	68	25186
2020-01-02	2082	0	3367	2893	8194	68	25271
2020-03-01	2087	0	3384	2886	8179	82	25067
2020-05-02	2076	0	3377	2906	8172	82	25021
2020-07-02	2061	0	3339	2944	8143	88	25092
2020-09-01	2054	0	3337	2944	8131	78	25164
2020-11-01	1884	0	3167	2832	7770	4127	25437
2021-01-02	1897	0	3149	2836	7773	3821	25637
2021-03-01	1895	0	3179	2835	7724	3655	25811
2021-05-06	1898	0	3227	2825	7769	3526	25897
2021-07-03	1901	0	3247	2785	7730	3378	25950
2021-09-01	1899	0	3214	2808	7722	3363	25982
2021-11-03	2039	0	3351	2867	7741	3232	26074
2022-01-02	2054	0	3027	2901	7707	3176	25954
2022-03-01	2038	0	3155	2943	7617	3137	26628
2022-05-01	2002	0	3281	2931	7618	3190	26598
2022-07-01	2014	0	3235	2850	7611	3087	26604
2022-09-01	2025	0	2811	2789	7594	2982	26637
2022-11-01	2090	0	2489	2802	7575	2950	26591
2023-01-01	2074	0	2528	2772	7613	2949	26486
2023-03-01	1895	0	2621	2756	7533	2886	26777
2023-05-01	1887	0	2541	2885	7503	2862	26786
2023-07-01	1871	0	2552	2880	7500	2852	26912
2023-09-01	1868	0	2586	2867	7492	2857	26956
2023-11-01	1851	0	2078	2637	5220	5832	26983
2024-01-01	1840	0	2069	2556	5214	5886	26941
2024-03-01	1843	0	2001	2526	5167	5899	27322
2024-05-01	1843	0	1892	2459	4847	6804	26818
2024-07-01	1848	0	1902	2436	4811	6725	27066
2024-09-01	1826	0	1881	2481	4807	6668	27412
2024-11-01	1819	0	1926	2471	4796	6661	27452
2025-01-01	1799	0	1967	2483	4798	6599	27529
